Average Lost Customer Hours per period - all causes and all attribution parties [Network by Line],,,,,,,,,,,,,
Lost Customer Hours,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17
Circle + H&C,"371,002","251,740","274,202","277,146","447,329","330,184","377,827","291,303","313,926","411,459","458,583","435,106","362,203"
District,"602,356","411,707","530,560","590,307","388,781","349,035","466,141","428,371","553,918","319,102","592,283","462,322","452,924"
Jubilee,"323,183","506,448","426,941","512,440","441,042","532,436","335,142","681,862","352,437","266,946","372,764","967,510","585,482"
Metropolitan,"175,947","249,811","172,800","235,217","234,708","181,714","162,004","134,033","230,504","103,555","182,260","166,844","225,579"
Northern,"458,916","446,712","648,451","421,824","527,691","684,305","413,364","562,192","706,821","322,559","467,987","530,996","420,042"
Piccadilly,"337,528","263,880","369,848","543,163","528,735","520,117","450,910","471,886","666,809","354,123","572,605","911,047","329,000"
Victoria,"290,213","359,331","236,848","709,309","465,878","423,246","304,410","306,808","541,943","391,727","163,618","401,134","428,031"
NETWORK,"2,897,442","2,918,580","3,321,016","4,194,887","3,777,136","3,557,078","3,054,899","3,643,299","4,637,673","2,540,301","3,384,482","4,526,399","3,214,634"
Lost Customer Hours,2007/08,,,,,,,,,,,,
Bakerloo,"127,383","176,875","197,321","271,194","193,575","270,004","170,247","193,716","167,587","104,708","119,154","191,086","196,714"
Central,"616,111","729,454","475,197","1,161,231","396,916","1,480,135","386,960","582,298","495,694","562,087","443,403","493,683","313,728"
Waterloo & City,410,"3,373","11,575","3,111","3,438","83,902","29,996","10,693","30,741","7,620","10,852","11,917","9,031"
Circle + H&C,"311,119","246,196","333,358","375,146","673,330","889,311","475,650","360,320","465,228","422,353","355,016","375,151","410,083"
District,"429,699","687,734","429,478","449,497","351,950","946,577","348,605","443,328","409,701","404,513","612,700","716,118","408,594"
Jubilee,"553,011","599,295","539,943","433,725","631,968","526,343","674,983","622,859","492,456","473,511","684,906","730,498","601,702"
Metropolitan,"110,919","94,074","134,498","196,066","130,521","446,058","176,786","91,782","132,944","70,482","164,719","88,053","124,355"
Northern,"1,077,618","380,743","559,750","510,451","423,721","517,665","537,613","535,593","387,350","484,960","329,512","293,044","183,086"
Piccadilly,"371,541","334,735","334,940","501,689","438,242","648,408","462,308","411,633","530,875","381,574","414,586","411,759","420,267"
Victoria,"470,617","379,521","382,293","592,940","514,901","546,909","303,019","269,477","223,167","202,329","283,467","223,746","191,462"
NETWORK,"4,068,427","3,632,000","3,398,354","4,495,051","3,758,561","6,355,312","3,566,168","3,521,699","3,335,743","3,114,138","3,418,314","3,535,057","2,859,022"
Lost Customer Hours,2008/09,,,,,,,,,,,,
Bakerloo,"98,109","106,459","112,221","97,374","146,148","175,748","132,294","148,800","111,624","91,574","98,306","348,437","82,018"
Central,"465,279","392,897","303,385","461,977","363,837","258,217","431,987","392,710","335,647","252,688","286,770","571,003","406,965"
Waterloo & City,"8,007","30,070","3,708","8,661","17,619","8,828","10,987","27,957","29,764","1,661","6,539","43,171","28,091"
Circle + H&C,"330,465","391,468","443,486","461,221","472,429","424,704","361,335","416,707","352,391","382,546","321,616","444,508","250,301"
District,"297,621","364,713","536,961","356,480","326,031","363,787","448,956","465,503","454,671","241,269","194,832","784,839","247,837"
Jubilee,"519,845","466,370","485,971","726,345","471,739","359,479","348,072","592,196","697,220","317,961","513,837","1,083,879","792,989"
Metropolitan,"127,019","75,842","98,891","97,232","111,667","111,573","103,120","171,436","89,564","38,822","151,127","269,170","152,177"
Northern,"232,172","227,365","375,035","244,907","271,483","306,229","340,649","491,776","350,592","218,751","294,818","390,413","255,417"
Piccadilly,"265,858","198,222","281,417","257,462","381,903","271,104","235,162","198,551","319,478","202,838","254,624","467,627","221,811"
Victoria,"228,201","214,725","349,602","170,756","180,254","233,502","286,073","213,393","233,763","134,902","182,938","402,844","221,513"
NETWORK,"2,572,577","2,468,131","2,990,677","2,882,416","2,743,109","2,513,170","2,698,635","3,119,030","2,974,712","1,883,011","2,305,408","4,805,891","2,659,119"
Lost Customer Hours,2009/10,,,,,,,,,,,,
Bakerloo,"103,704","119,245","291,611","148,844","84,114","81,202","132,232","108,725","83,297","76,369","144,158","88,042","129,544"
Central,"418,108","419,684","1,140,658","269,231","211,752","649,187","170,949","287,388","358,343","494,027","276,061","456,188","281,202"
Waterloo & City,"39,777","18,860","51,525","9,747","12,053","7,572","15,933","25,085","4,174","6,338","14,327","8,612","5,172"
Circle + H&C,"288,186","197,513","407,140","340,714","350,826","268,193","293,621","228,504","309,556","315,605","286,781","402,987","393,889"
District,"225,479","164,935","562,554","338,116","272,262","166,751","219,486","175,164","299,835","365,295","323,776","178,683","231,390"
Jubilee,"743,851","397,788","725,553","369,058","430,356","340,707","420,085","529,138","395,686","483,038","404,233","378,283","420,261"
Metropolitan,"98,216","64,058","360,359","139,399","109,182","142,414","72,470","88,248","193,425","117,968","149,289","107,196","127,088"
Northern,"236,310","177,202","579,072","385,303","209,783","168,640","250,258","205,088","285,074","313,380","228,834","278,103","173,643"
Piccadilly,"267,032","194,561","807,083","255,461","248,692","222,450","160,309","227,702","264,362","324,580","251,488","167,058","190,992"
Victoria,"417,125","458,927","583,672","150,344","232,637","221,656","155,552","232,633","181,099","154,724","225,097","191,295","181,572"
NETWORK,"2,837,788","2,212,773","5,509,227","2,406,216","2,161,656","2,268,772","1,890,896","2,107,675","2,374,850","2,651,324","2,304,045","2,256,448","2,134,752"
Lost Customer Hours,2010/11,,,,,,,,,,,,
