Average Lost Customer Hours per period - all causes and all attribution parties [Network by category],,,,,,,,,,,,,
Lost Customer Hours,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17
Other LU Operations,"20,782","13,326","42,348","20,706","13,582","6,849","16,627","24,657","19,579","18,096","25,210","14,723","9,215"
Power Failure,"8,976","4,952","2,449","7,107","38,874","13,027","5,893","8,971","12,892","36,738","3,272","5,248",654
Safety & Security,"198,181","182,642","105,380","87,462","99,770","131,318","52,622","284,341","44,293","57,572","65,700","60,570","91,875"
Signals,"976,290","953,037","539,124","906,334","1,340,513","872,532","671,213","633,898","681,167","523,513","715,053","1,057,810","1,062,798"
Staff,"298,873","281,610","261,793","288,014","290,844","238,311","241,246","219,777","295,554","248,548","234,775","295,105","191,110"
Staff - Absence or Shortage,"335,614","225,563","183,918","165,869","328,902","204,507","201,609","273,943","195,855","194,126","212,985","251,378","162,326"
Staff Industrial Action,0,101,0,"2,244,063",0,0,0,65,0,"12,722","55,622","38,543","64,249"
Stations,"139,448","118,919","268,049","154,450","149,274","105,558","143,350","117,151","263,303","115,464","77,656","262,078","223,872"
Track & Civils,"386,759","179,756","638,850","254,444","253,171","185,851","293,002","139,493","243,967","179,411","238,280","529,263","297,746"
Transplant Operations,"20,225","121,940",747,706,"9,444",404,"6,043","4,366",715,0,"6,438",831,"4,614"
Other,0,0,0,0,0,0,0,52,0,105,834,696,0
Vandalism,"36,532","24,541","27,942","25,839","25,823","20,914","20,564","20,819","21,832","19,722","18,165","32,380","21,971"
Weather,0,0,0,0,"12,453",0,0,0,0,13,0,399,0
TOTAL,"3,844,130","3,342,358","3,507,979","5,410,752","4,089,718","2,892,844","2,983,461","3,176,544","2,939,043","2,379,839","2,928,793","4,080,491","3,272,562"
Lost Customer Hours,2005/06,,,,,,,,,,,,
Animals / Pests,"1,830",125,173,189,425,514,0,0,365,378,0,134,0
ATP / ATO,"9,068","12,392","53,138","9,203","11,887","55,096","8,850","3,852","6,732",245,"8,432","10,825","12,565"
Bridge Strike,"8,474",163,48,"1,281",411,0,0,0,0,0,0,0,0
Customers & Public,"517,751","389,401","320,075","301,134","270,953","238,993","324,337","376,714","356,410","263,307","336,101","368,006","384,998"
External Properties,"1,573","4,054",34,"17,758",279,"61,195",32,0,"1,151","2,927",0,"1,058","9,793"
Fleet,"688,087","799,678","777,540","739,357","828,314","912,217","770,837","895,989","970,930","632,292","811,235","800,930","600,496"
Gas / Water / Sewage,"1,776",0,114,0,0,0,630,969,220,0,454,0,"17,232"
National Rail Operations,"23,726","31,635","30,378","27,416","59,754","19,948","60,401","28,740","25,620","16,870","31,092","52,441","40,131"
Other LU Operations,"6,196","11,829","5,992","11,382","8,274","7,817","19,596","2,034","16,390","6,969","8,771","32,070","27,517"
Power Failure,"17,468","31,087","8,501","1,469","15,091","9,459","1,808","1,198","11,214","2,021","4,771","40,266","60,009"
Safety & Security,"53,220","31,218","70,465","10,440,194","4,453,756","257,982","152,758","132,012","151,793","74,350","89,345","98,499","98,850"
Signals,"700,398","529,351","825,217","475,735","552,355","926,275","1,058,817","477,995","471,075","526,060","515,874","532,080","525,704"
Staff,"291,788","233,118","258,129","346,012","351,339","404,668","2,075,709","505,770","475,610","279,879","321,863","367,318","261,336"
Staff - Absence or Shortage,"143,830","131,380","119,074","119,270","306,140","361,373","379,556","349,491","398,192","370,991","150,792","231,125","165,195"
Staff Industrial Action,"81,425","67,488","53,119","135,235","94,058","81,262","165,419","159,374","202,477","435,730","951,372","484,570","500,075"
Stations,"94,330","762,217","94,704","108,954","384,295","224,952","217,578","437,611","130,573","166,499","235,333","136,693","104,026"
Track & Civils,"435,389","929,664","940,283","461,061","340,449","406,527","255,276","383,939","422,462","277,523","583,451","370,753","274,298"
Transplant Operations,0,0,273,0,5,461,"6,236",212,0,0,"3,461",846,294
Other,0,732,"6,594",0,137,245,89,0,0,"15,033",35,"2,120",218
Vandalism,"62,888","59,496","52,721","34,070","32,048","32,898","52,167","61,716","63,037","76,038","49,846","75,779","45,345"
Weather,68,0,"4,156","2,776",34,"51,587",0,1,183,793,0,124,0
TOTAL,"3,139,284","4,025,029","3,620,728","13,232,497","7,710,007","4,053,470","5,550,098","3,817,617","3,704,433","3,147,906","4,102,229","3,605,636","3,128,082"
Lost Customer Hours,2006/07,,,,,,,,,,,,
Animals / Pests,0,227,573,433,0,190,"2,691","3,175","4,272","3,812",0,0,"4,827"
ATP / ATO,0,"8,082","14,500","19,713","8,130","8,279","22,830","10,871","13,211","4,553","7,230","26,028","11,627"
Bridge Strike,187,144,"1,093",101,"1,714","1,289",744,0,950,0,7,0,277
Customers & Public,"338,771","384,511","350,896","402,922","389,719","442,714","377,547","541,194","657,818","429,606","403,953","451,964","319,681"
External Properties,"2,901",502,"1,870","1,432",0,0,0,740,3,0,"24,754","2,126","3,299"
Fleet,"736,575","628,243","790,786","939,491","950,381","780,725","778,743","896,927","853,856","700,572","886,354","907,593","909,110"
Gas / Water / Sewage,414,0,"8,782","19,860","28,590",0,"77,586",757,0,262,0,"12,569",0
National Rail Operations,"26,690","25,593","58,218","22,053","13,271","21,768","17,780","32,277","26,044","17,640","71,398","15,970","15,761"
