Average Lost Customer Hours per period - all causes and all attribution parties [Network by category],,,,,,,,,,,,,
Lost Customer Hours,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17
Stations,"88,000","101,724","101,935","123,082","76,956","34,503","47,690","68,552","62,008","71,645","74,143","49,959","50,251"
Track & Civils,"264,647","308,301","205,555","100,760","270,885","102,042","78,569","377,138","133,485","36,144","94,749","51,345","121,874"
Transplant Operations,0,0,0,0,0,0,0,0,0,0,0,"1,688",27
Other,0,8,341,90,10,0,0,0,0,0,0,0,0
Vandalism,"20,416","19,745","23,579","16,558","16,723","13,261","14,456","15,535","12,275","5,606","7,594","8,682","8,628"
Weather,0,397,"5,105","4,048",0,0,"3,710","1,098","12,840","16,926","39,711","7,058","2,697"
TOTAL,"1,976,896","2,398,403","2,453,427","1,745,717","1,728,724","1,100,217","1,253,385","1,656,899","1,726,294","1,461,084","1,831,202","1,709,469","1,815,754"
Lost Customer Hours,2013/14,,,,,,,,,,,,
Animals / Pests,"2,522","3,089",139,235,"1,389",894,"1,992","2,274",182,"5,264","1,299","16,871",53
ATP / ATO,"14,843","13,345","21,583","17,164","24,859","29,291","26,407","16,688","10,541","2,838","12,659","32,083","56,651"
Bridge Strike,136,563,35,20,433,235,0,16,41,0,3,11,36
Customers & Public,"445,405","314,673","368,194","357,410","320,545","213,045","340,476","331,917","356,095","245,805","318,129","348,417","314,330"
External Properties,36,866,"1,131","1,079","5,259",8,"2,962","1,578","17,691","1,593",238,332,"2,829"
Fleet,"303,079","276,040","386,611","384,683","410,388","387,176","303,369","366,389","397,612","314,622","346,109","387,075","268,461"
Gas / Water / Sewage,151,0,"9,738",15,4,"33,475",0,590,"24,760",0,0,0,0
National Rail Operations,"75,700","8,824","7,219","31,465","25,611","25,317","9,954","12,328","12,433","8,809","9,963","9,797","14,062"
Other LU Operations,"20,080","10,444","1,669","2,657","6,849","4,388","8,065","12,052","3,833","3,319","6,088","4,337","9,155"
Power Failure,"28,047","10,343","1,409","1,889","1,298","1,503","20,800",245,"6,896","6,705","6,146","4,795","9,338"
Safety & Security,"10,587","16,169","12,137","10,553","13,146","11,462","25,214","11,129","9,869","11,891","10,872","7,701","13,148"
Signals,"259,743","181,213","212,335","344,712","290,856","237,294","384,942","282,265","280,269","265,276","332,658","146,167","214,171"
Staff,"188,247","218,485","244,064","274,438","249,785","198,274","228,872","225,624","243,701","224,477","209,686","203,842","248,173"
Staff - Absence or Shortage,"128,537","56,320","111,366","162,472","149,184","137,586","164,015","141,619","166,721","116,439","37,327","159,946","201,111"
Staff Industrial Action,0,0,0,"2,175",466,0,0,0,0,0,0,"3,482,753",0
Stations,"38,072","30,471","62,461","85,866","39,769","23,849","52,504","93,355","52,409","29,294","142,022","44,751","62,870"
Track & Civils,"148,856","187,552","85,301","152,122","193,021","86,759","106,063","73,823","129,256","168,245","81,966","56,298","41,034"
Transplant Operations,0,0,0,0,0,38,0,0,29,85,444,0,0
Other,0,0,0,0,0,0,0,0,0,0,0,0,0
Vandalism,"8,833","4,106","8,781","6,998","13,947","10,757","8,443","16,534","17,009","10,299","6,596","7,547","11,650"
Weather,"1,587",0,0,"2,206","2,256",287,0,"344,493","2,399","6,003",105,"19,334",162
TOTAL,"1,674,459","1,332,503","1,534,174","1,838,159","1,749,066","1,401,638","1,684,080","1,932,919","1,731,747","1,420,964","1,522,310","4,932,056","1,467,235"
Lost Customer Hours,2014/15,,,,,,,,,,,,
Animals / Pests,"2,169","1,661",0,0,664,992,272,0,520,774,"3,585",0,146
ATP / ATO,"30,516","28,425","10,850","34,276","28,841","47,329","22,955","22,568","14,992","25,322","32,978","7,453","26,124"
Bridge Strike,"1,790",3,87,12,7,"1,327",13,0,173,0,110,19,226
Crowding,"29,282","27,129","7,802","8,358","10,538","2,549","26,754","17,160","17,183","6,685","19,202","32,473","12,543"
Customers & Public,"268,120","190,251","227,043","261,705","223,196","223,453","297,546","383,058","347,786","277,776","256,014","209,998","389,051"
External Properties,"5,528","1,012",482,0,"1,124","7,063","65,291","2,040","2,597","1,542",187,"1,086",519
Fleet,"255,128","236,899","308,695","382,697","341,970","273,037","249,822","293,662","450,806","252,355","300,334","289,240","277,201"
Gas / Water / Sewage,"8,767","14,554",535,0,"1,050",0,0,543,"6,811",0,237,0,0
National Rail Operations,"11,440","9,276","10,364","13,193","29,906","27,922","20,329","51,240","50,497","7,144","25,291","8,056","7,245"
Other LU Operations,"3,407","2,141","1,608","1,837","1,341","1,268","2,813","3,954","5,959","6,645","2,867","3,646","3,030"
Power Failure,"20,436",835,"63,107","1,402",781,274,"2,029","5,646",44,"4,827","79,784","5,753","11,696"
Safety & Security,"5,867","7,652","6,518","15,769","24,375","11,612","18,687","3,703","20,042","6,587","19,570","5,834","15,312"
Signals,"165,502","242,285","289,235","288,751","277,739","283,612","192,264","242,193","371,004","180,919","351,728","202,831","182,790"
Staff,"209,635","187,847","253,079","209,883","232,749","276,689","214,378","179,728","183,553","154,372","170,610","201,859","162,792"
Staff - Absence or Shortage,"119,109","76,761","131,157","138,583","188,385","166,430","236,498","105,183","122,248","103,595","95,526","98,924","92,938"
Staff Industrial Action,0,"3,181,918",0,167,0,"584,596",0,0,"51,132",0,0,0,"3,814"
Stations,"28,841","59,022","51,835","54,811","61,141","39,829","33,920","74,725","56,542","37,496","48,807","62,177","79,901"
Track & Civils,"59,846","110,656","50,571","45,075","79,986","151,184","191,988","52,726","74,038","84,705","80,565","299,317","50,112"
Transplant Operations,137,"10,933",49,64,0,"1,697","168,908",0,0,"1,566",301,793,"3,312"
Other,50,0,0,0,0,628,0,0,0,0,0,475,0
Vandalism,"6,700","11,587","10,745","10,269","8,961","6,527","9,803","10,974","15,438","10,574","24,967","6,256","10,314"
Weather,0,53,"7,917",609,"15,560","3,426","33,479",401,"3,477","2,297",593,"11,764","2,141"
TOTAL,"1,232,270","4,400,900","1,431,679","1,467,461","1,528,313","2,111,445","1,787,750","1,449,503","1,794,842","1,165,182","1,513,254","1,447,954","1,331,204"
Lost Customer Hours,2015/16,,,,,,,,,,,,
Animals / Pests,0,256,"3,537",331,120,266,0,"1,092","2,291",636,0,0,0
ATP / ATO,"40,447","21,139","17,241","27,191","12,550","10,890","20,042","16,536","33,561","17,025","30,985","31,798","1,576"
Bridge Strike,21,23,"4,140",0,47,0,0,0,4,0,0,2,0
Crowding,"13,679","9,389","23,987","22,197","13,302","11,657","33,828","58,511","50,009","18,118","55,549","43,213","49,213"
Customers & Public,"343,387","259,196","285,637","331,765","233,368","237,143","263,548","320,136","275,745","177,098","291,535","317,180","298,350"
External Properties,"5,826","1,462",0,"6,346","5,048",401,"4,753","2,654","2,553",17,0,"76,910","2,570"
Fleet,"270,511","240,383","301,972","341,296","360,213","439,819","543,162","432,164","718,224","223,457","390,642","272,258","292,432"
Gas / Water / Sewage,160,0,0,0,0,195,0,150,"1,299",89,0,0,0
National Rail Operations,"11,159","8,164","23,789","9,528","23,822","51,690","6,308","38,181","7,554","6,056","14,599","32,727","31,570"
Other LU Operations,"10,803",28,460,414,"1,006","10,658","4,216","1,664","7,232","1,459","16,377","3,625","10,955"
Power Failure,"22,386","1,652","6,834","7,365","15,460","2,277","4,525","2,170",0,"2,596","16,146","6,353","250,329"
Safety & Security,"6,147","7,626","17,066","15,516","16,657","19,288","18,278","11,491","44,818","21,701","19,267","9,363","5,696"
Signals,"268,991","115,079","226,322","229,857","157,253","147,953","377,451","119,088","144,311","111,557","150,065","190,082","145,811"
Staff,"163,541","180,215","178,256","171,890","194,425","258,067","155,658","220,899","210,470","117,067","189,228","175,571","190,823"
Staff - Absence or Shortage,"108,059","101,030","141,957","88,810","93,916","97,962","80,774","68,502","124,642","63,524","62,262","174,604","125,851"
Staff Industrial Action,0,0,0,"3,498,566","3,961,785","212,803",0,0,0,0,"125,851",0,"291,059"
Stations,"35,466","45,049","47,620","70,269","36,461","77,519","55,950","33,669","33,472","12,821","41,081","51,351","26,918"
Track & Civils,"372,576","45,638","103,946","87,364","76,290","78,989","63,419","166,792","29,264","26,256","79,187","95,829","73,960"
Transplant Operations,330,"1,378","1,552",183,149,0,"3,201","3,121","2,491","1,641","2,457","3,592","1,731"
Other,0,0,0,0,0,0,0,668,0,0,"6,492",0,0
Vandalism,"5,510","10,469","8,841","7,446","23,959","11,504","6,005","22,548","9,695","7,042","13,442","11,876","22,859"
Weather,343,0,0,128,14,"4,393",915,"3,604",83,0,66,0,"26,024"
TOTAL,"1,679,343","1,048,174","1,393,156","4,916,461","5,225,844","1,673,474","1,642,033","1,523,639","1,697,720","808,160","1,505,232","1,496,334","1,847,729"
Lost Customer Hours,2016/17,,,,,,,,,,,,
Animals / Pests,"4,530",16,0,195,"9,061",0,"2,481","2,306",0,0,12,269,"2,016"
ATP / ATO,"13,260","13,505","18,131","11,467","22,433","8,514","13,425","37,301","45,570","22,556","16,819","9,031","10,741"
Bridge Strike,0,0,0,13,282,12,188,237,85,22,172,0,0
Crowding,"59,487","10,923","18,288","22,269","17,262","26,227","10,811","23,273","46,111","12,656","48,624","48,112","12,831"
Customers & Public,"275,044","434,207","288,238","398,446","309,609","388,529","352,332","319,269","454,474","197,502","300,749","428,321","303,550"
External Properties,"2,262",639,507,"13,864","11,753","1,522","7,013","3,445","1,837","2,431","5,394",49,"2,196"
Fleet,"362,463","231,623","267,117","365,481","280,616","380,279","365,190","329,733","2,258,547","702,532","369,445","220,444","249,683"
Gas / Water / Sewage,0,20,0,492,"1,382","3,133",0,"1,528",225,0,0,262,0
National Rail Operations,"35,351","15,414","69,918","15,632","27,980","43,991","24,804","52,894","31,714","10,734","49,723","40,954","12,502"
Other LU Operations,"2,821","2,963","4,443","10,802","3,434","1,849","2,772","5,340","3,270","5,793","4,746","2,284","8,116"
Power Failure,"3,735","4,353","1,247","79,897","8,827","28,921","27,593","9,339","22,448","3,313","13,601",909,"8,225"
Safety & Security,"16,052","18,726","20,377","33,165","26,648","10,972","8,021","43,266","9,981","54,120","17,848","36,661","34,615"
Signals,"184,649","244,891","218,270","337,056","255,609","310,468","158,903","179,199","143,959","177,884","174,112","170,695","125,618"
Staff,"200,936","151,625","178,477","183,497","180,281","229,125","223,304","168,771","244,053","261,485","174,266","154,492","372,057"
Staff - Absence or Shortage,"162,703","94,067","130,463","210,936","241,009","223,704","147,012","424,526","278,072","277,898","416,462","382,959","268,258"
Staff Industrial Action,0,0,0,0,0,"82,466",0,0,0,0,"1,909,572","448,184","3,227"
Stations,"45,113","37,923","116,177","65,617","37,752","44,549","51,517","32,790","37,612","45,053","70,311","129,884","42,437"
Track & Civils,"25,602","60,692","74,717","122,901","42,671","45,135","30,429","21,363","116,867","35,376","206,222","64,806","55,192"
Transplant Operations,597,425,"1,414",93,"11,238","1,436","2,926","1,880","1,652",0,30,"3,843",567
Other,0,"2,811",0,239,0,0,0,0,0,0,0,0,0
Vandalism,"32,491","9,299","6,260","9,328","11,498","8,038","10,330","7,895","65,058","28,233","11,076","23,950","10,156"
Weather,"4,415","7,865","430,733",308,0,197,211,0,24,0,"3,145","62,047",0
TOTAL,"1,431,513","1,341,990","1,844,777","1,881,697","1,499,344","1,839,068","1,439,262","1,664,357","3,761,560","1,837,588","3,792,330","2,228,155","1,521,988"
Lost Customer Hours,2017/18,,,,,,,,,,,,
Animals / Pests,41,5,46,1168,176,1647,0,163,598,335,77,1536,142
ATP / ATO,5069,1638,10229,21570,26724,25638,30010,10170,19940,5364,12039,4327,7297
Bridge Strike,388,7,0,351,71,37,0,534,22,256,35,0,1
Crowding,18210,15269,12309,49342,6558,14480,32576,51530,51598,13278,20552,59536,48238
Customers & Public,286818,390749,347329,311936,377987,254302,334976,280270,512009,223065,402605,306011,343018
External Properties,3154,816,451,4835,859,442,1206,297,495,1632,2945,38210,0
Fleet,306448,423791,451010,427323,361096,344574,371034,315765,420759,391076,377352,383344,472877
Gas / Water / Sewage,0,0,43,61,262,0,0,0,0,168,6304,2284,4745
National Rail Operations,1409,0,0,0,0,0,0,137,0,0,0,0,0
Other LU Operations,2061,2734,1293,335,845,2165,4521,1465,4004,5740,977,1921,2475
Power Failure,1323,2559,4427,2076,2550,880,310,1503,2954,347,9156,1835,1041
Safety & Security,39650,34572,75223,20861,14458,22827,73474,27246,42366,15893,19426,19824,30029
Signals,173488,109917,226755,211635,236029,236474,232768,235922,237784,117524,203115,258257,321110
Staff,173866,199518,254465,249005,212128,214017,260227,192492,231969,198500,206933,178241,192625
Staff - Absence or Shortage,300485,320306,436617,510750,367941,488601,380728,271114,270100,290766,221829,295806,384039
Staff Industrial Action,292,0,0,0,151653,0,0,0,0,0,0,0,0
Stations,50103,44036,51267,57818,42345,27957,36090,48098,40612,37147,38955,45471,94721
Track & Civils,40371,62191,45530,29559,109749,34498,64672,133473,59176,17077,244328,151012,82489
Transplant Operations,0,12,30,3947,2218,176,1444,17547,2485,0,0,194,261
Other,0,0,0,0,0,0,0,0,0,0,0,0,0
Vandalism,10832,14067,17646,14400,25008,14510,29830,16192,29406,23053,7511,31035,12103
Weather,0,60,9571,371,1081,529,441,2864,13686,158878,2791,372173,12208
TOTAL,1414008,1622247,1944241,1917343,1939738,1683754,1854307,1606782,1939963,1500099,1776930,2151017,2009419
Lost Customer Hours,2018/19,,,,,,,,,,,,
Animals / Pests,10.39,"1,759","1,527",7,195,0,"5,028",507,209,0,238,707,0
ATP / ATO,25765.29,"17,751","22,003","58,545","19,652","30,476","29,413","58,122","31,518","14,000","22,613","29,325","53,490"
Bridge Strike,128.54,125,0,0,0,0,72,723,0,"11,016",295,0,0
Crowding,52389.9,"10,730","20,535","2,126",536,"1,026","12,536","10,510","1,146",809,"1,251",0,0
Customers & Public,309253.21,"442,511","252,635","382,598","416,722","291,427","345,980","437,297","463,990","222,041","333,802","430,572","465,863"
External Properties,292.33,252,0,0,0,188,268,841,"3,647",0,"2,037",0,"3,574"
Fleet,356566.3,"374,557","383,453","470,638","410,630","353,516","383,104","519,516","577,358","373,541","406,679","553,759","565,457"
Gas / Water / Sewage,19104.09,49,0,0,0,0,0,0,"13,059",0,0,0,0
National Rail Operations,6485.6,"8,971","35,625","21,285","11,280",880,"1,824","8,811","3,694",0,0,0,0
Other LU Operations,2215.08,"2,132","1,275","5,274",548,641,641,"2,443","8,995","2,876","1,146","1,678","1,404"
Power Failure,331286.51,"4,300","10,132","14,040","6,716","5,269","1,471","13,190","2,698","4,340","1,687","1,272",237
Safety & Security,14866.23,"19,102","69,287","7,237","25,502","8,462","8,763","24,188","11,032","16,727","41,583","28,888","52,748"
Signals,283713.95,"231,169","227,556","282,979","318,619","143,750","237,168","257,055","168,681","105,878","145,689","240,895","172,812"
Staff,188890.79,"161,587","226,907","192,311","151,008","133,533","151,517","174,878","190,988","127,828","118,233","188,499","234,325"
Staff - Absence or Shortage,229954.69,"172,198","300,622","189,646","387,791","249,104","273,595","353,630","321,628","251,478","253,915","629,033","677,441"
Staff Industrial Action,116714.17,0,0,0,0,0,"1,282,517","679,537",0,0,0,0,0
Stations,41440.47,"36,952","34,613","59,569","227,202","51,537","70,241","46,735","77,279","27,691","56,155","79,529","104,394"
Track & Civils,101273.72,"72,222","240,078","93,274","63,226","30,657","77,757","76,813","13,497","46,296","56,592","37,675","67,042"
Transplant Operations,757.66,743,0,0,0,70,"2,544","1,166","1,549",889,80,0,106
Other,0,0,0,309,0,0,0,0,0,0,0,0,0
Vandalism,7623,"38,431","18,387","8,427","15,810","9,696","27,637","17,288","17,687","13,412","18,990","18,166","24,540"
Weather,2765.03,"2,986",770,142,298,0,"9,776",0,47,261,"18,342","23,218","2,126"
TOTAL,2091496.95,1598528.27,1845406.48,1788405.9,2055734.84,1310232.55,"2,921,853","2,683,250","1,908,701","1,219,083","1,479,327","2,263,216","2,425,559"
Lost Customer Hours,2019/20,,,,,,,,,,,,
Animals / Pests,1389,,,,,,,,,,,,
ATP / ATO,31408,,,,,,,,,,,,
Bridge Strike,8,,,,,,,,,,,,
Crowding,0,,,,,,,,,,,,
Customers & Public,394175,,,,,,,,,,,,
External Properties,0,,,,,,,,,,,,
Fleet,483212,,,,,,,,,,,,
Gas / Water / Sewage,11,,,,,,,,,,,,
National Rail Operations,0,,,,,,,,,,,,
Other LU Operations,838,,,,,,,,,,,,
Power Failure,5806,,,,,,,,,,,,
Safety & Security,20862,,,,,,,,,,,,
Signals,307568,,,,,,,,,,,,
Staff,191161,,,,,,,,,,,,
Staff - Absence or Shortage,778245,,,,,,,,,,,,
Staff Industrial Action,0,,,,,,,,,,,,
Stations,52542,,,,,,,,,,,,
Track & Civils,71308,,,,,,,,,,,,
Transplant Operations,4716,,,,,,,,,,,,
Other,0,,,,,,,,,,,,
Vandalism,70214,,,,,,,,,,,,
Weather,369,,,,,,,,,,,,
TOTAL,"2,413,832",,,,,,,,,,,,
